Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_14,MA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Log_Return,Rolling_Volatility,ROC_10,MA_20,20STD,BB_Upper,BB_Lower,BB_Position,Vol_MA20,Volume_Ratio,VPM_10
2024-05-13 00:00:00+05:30,1383.2193979190515,1390.210046915121,1367.5088315833425,1385.9859619140625,8456620,0.0,0.0,1418.494001116071,1441.332099609375,38.19368775385269,-15.446555061721256,-9.074744565367467,-6.371810496353788,-0.0033629324551345,0.0107292434594178,-3.4319021649409738,1428.2970275878906,27.337643147659225,1482.9723138832092,1373.621741292572,0.11306955536279531,12256352.2,0.6899785402707341,-2.367938846117945
2024-05-14 00:00:00+05:30,1384.2815424166113,1410.070521585227,1383.342910466477,1403.1539306640625,7188300,0.0,0.0,1415.723833356585,1440.003125,44.048534880387976,-14.748713678918648,-10.209538388077704,-4.539175290840944,0.0123107382447134,0.0111101891189863,-3.0682175904316917,1425.9713195800782,27.402326590610592,1480.7759727612995,1371.166666398857,0.291829821086852,11838216.6,0.6072113936486008,-1.8630566791031793
2024-05-15 00:00:00+05:30,1403.5739245612333,1412.9360003572742,1396.1880176135714,1399.3992919921875,5046534,0.0,0.0,1413.331263950893,1438.6321557617186,43.08722117805313,-14.333410681272198,-11.034312846716604,-3.299097834555596,-0.0026794430791638,0.0110433439395145,-3.4577383557510415,1423.5727478027343,27.529828422722606,1478.6324046481795,1368.513090957289,0.2804794181845096,11445440.2,0.4409209180089028,-1.5245891700523435
2024-05-16 00:00:00+05:30,1401.6471872524828,1410.4904944706304,1381.3667306256436,1408.3660888671875,14711774,0.0,0.0,1410.8875209263392,1438.0338671875,46.1119074972508,-13.129387092730894,-11.453327695919462,-1.676059396811432,0.0063871628449543,0.0110233009565641,-2.8093245414703696,1421.5768127441406,27.087402311810703,1475.751617367762,1367.4020081205192,0.3780731747097713,11712719.7,1.2560510604552417,-3.5286550694767933
2024-05-17 00:00:00+05:30,1406.0936018418706,1420.0749000882806,1396.4103261437938,1418.5927734375,10916476,0.0,0.0,1409.69828578404,1437.5378442382812,49.413956233466514,-11.220637226097324,-11.406789601955037,0.186152375857711,0.0072351453841611,0.0112230783116335,0.11854555629914557,1420.162615966797,26.427299089699126,1473.017214146195,1367.3080177873987,0.48514942329172017,11308258.9,0.9653542686398876,0.11443845880167029
2024-05-21 00:00:00+05:30,1408.613082979292,1424.6447280920645,1408.613082979292,1419.0126953125,11176128,0.0,0.0,1407.6585867745537,1436.4311865234374,49.55065497631914,-9.5638093778673,-11.03819355713749,1.4743841792701886,0.000295969177315,0.01090438633739,1.1693979540453043,1418.4828735351562,25.300154856608316,1469.0831832483727,1367.8825638219396,0.5052353610120834,11079976.4,1.0086779607220102,1.1795459435589086
2024-05-22 00:00:00+05:30,1419.1610465084934,1451.2737917888355,1419.1610465084934,1443.24560546875,10281604,0.0,0.0,1407.210423060826,1435.5073291015624,56.80486890877951,-6.223625958637513,-10.075280037437494,3.8516540787999816,0.0169331252693297,0.0119540772629842,4.222351726860907,1417.5343200683594,23.890552333664395,1465.315424735688,1369.7532154010307,0.7690528565570314,11076538.5,0.9282325881862822,3.919324471656918
2024-05-23 00:00:00+05:30,1441.1706938631594,1474.444366988288,1437.6629456463684,1468.343017578125,14608260,0.0,0.0,1408.5866873604912,1435.227705078125,62.77492559237061,-1.5336758640926291,-8.366959202768522,6.833283338675892,0.0172400960290922,0.0128413631497128,4.758387130655251,1418.8546569824218,25.950979762925495,1470.7566165082728,1366.9526974565708,0.976748479708693,11076673.8,1.3188309291910356,6.275508120972731
2024-05-24 00:00:00+05:30,1465.9467233388211,1470.7636348065282,1458.5113640783345,1462.6119384765625,7094776,0.0,0.0,1411.8508911132812,1434.778125,60.71141750445073,1.7010841490484836,-6.353350532405122,8.054434681453605,-0.0039107297735093,0.0110791269524468,6.177718333865475,1420.3404907226563,27.595785978771232,1475.5320626801988,1365.1489187651139,0.8829520183482412,10908273.8,0.6504031829490748,4.018007667708961
2024-05-27 00:00:00+05:30,1462.587264504762,1467.2066075031105,1444.134859977049,1448.77880859375,6629010,0.0,0.0,1415.1486206054688,1434.5276440429689,55.93226275469649,3.1125571698430576,-4.460168991955486,7.572726161798544,-0.0095028357120105,0.0110249466181342,4.179615534920074,1420.6505065917968,27.891998223198254,1476.4345030381933,1364.8665101454003,0.7521180248261886,10442528.0,0.6348089274934192,2.653257255057446
