Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_14,MA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Log_Return,Rolling_Volatility,Target,Market_Return,Strategy_Return,Cumulative_Market,Cumulative_Strategy
2026-01-21 00:00:00+05:30,179.85096134014822,181.95752714211503,177.22512093082943,180.6837921142578,35037961,0.0,0.0,180.9735336303711,170.74319763183593,57.40595480429866,3.63512877043982,3.6541252750932056,-0.0189965046533853,0.004619949485309,0.0167435544236561,0.0251145008195865,0.004619949485309,0.0,0.004619949485308972,0.0
2026-01-22 00:00:00+05:30,182.13389239341228,186.1510534721251,182.03590702057772,185.279037475586,35681682,0.0,0.0,181.40884290422716,170.94875854492187,63.56161178508373,3.74780207932514,3.672860635939593,0.0749414433855477,0.0251145008195865,0.017930208657406,-0.0079106731718119,0.0251145008195865,0.0,0.029850478030030825,0.0
2026-01-23 00:00:00+05:30,186.65074139853988,188.5123438627473,183.48601122919985,183.8191375732422,28492706,0.0,0.0,181.5411148071289,171.16352966308594,60.56686783137259,3.676909641605903,3.673670437072855,0.003239204533048,-0.0079106731718119,0.0177093852886241,0.0245873040581573,-0.0079106731718119,-0.0,0.021703667482501077,0.0
2026-01-27 00:00:00+05:30,185.83751263902195,189.23739876721945,183.92691746839185,188.394775390625,42314287,0.0,0.0,181.9666257585798,171.51664764404296,65.97745971204009,3.9444731742198655,3.7278309845022575,0.216642189717608,0.0245873040581573,0.0188282558737854,0.0081320623881434,0.0245873040581573,0.0,0.046824606212227726,0.0
2026-01-28 00:00:00+05:30,189.5803332788552,191.25577253025963,188.21842031143703,189.9330596923828,33310718,0.0,0.0,182.66997855050224,171.92189056396484,67.58760220891298,4.231863599351442,3.828637507472095,0.4032260918793473,0.0081320623881434,0.0183505961197958,0.0427658803263243,0.0081320623881434,0.0,0.05533744921938921,0.0
2026-01-29 00:00:00+05:30,190.5209151482256,198.88836317541825,190.18778882033365,198.23190307617188,60610904,0.0,0.0,184.22365243094308,172.50721954345704,74.57763445221035,5.07081666846787,4.07707333967125,0.9937433287966204,0.0427658803263243,0.0196802736466043,-0.0464870491267178,0.0427658803263243,0.0,0.10046988427659387,0.0
2026-01-30 00:00:00+05:30,194.53808122494425,194.9789854884677,186.77811535533883,189.22760009765625,52262849,0.0,0.0,185.2545362200056,172.89756927490234,59.56722326264136,4.952037021558198,4.25206607604864,0.6999709455095582,-0.0464870491267178,0.0242096413624405,-0.0242125311414606,-0.0464870491267178,-0.0,0.04931228670375454,0.0
2026-02-02 00:00:00+05:30,181.6341982477284,185.181047387077,178.8613797123736,184.7009429931641,25601945,0.0,0.0,185.6233575003488,173.21208282470704,53.714138886928325,4.441441722663143,4.28994120537154,0.1515005172916028,-0.0242125311414606,0.0246221088502489,0.0231763705980641,-0.0242125311414606,-0.0,0.023905780284822598,0.0
2026-02-03 00:00:00+05:30,189.6685064801252,194.978987666741,187.64032591460304,189.03163146972656,28467895,0.0,0.0,186.3484039306641,173.70060791015624,57.969229474701,4.3362559769564655,4.299204159688525,0.0370518172679403,0.0231763705980641,0.0251836068863267,0.0127213048450809,0.0231763705980641,0.0,0.04763620010620362,0.0
2026-02-04 00:00:00+05:30,190.0702231611729,192.1767740562104,189.54112608536585,191.45172119140625,13859145,0.0,0.0,186.778812953404,174.2892678833008,60.17266773289697,4.397485060232441,4.318860339797308,0.0786247204351324,0.0127213048450809,0.0236315023427885,0.0120054520709366,0.0127213048450809,0.0,0.06096349957449676,0.0
