Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_14,MA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Log_Return,Rolling_Volatility,ROC_10,MA_20,20STD,BB_Upper,BB_Lower,BB_Position,Vol_MA20,Volume_Ratio,VPM_10,Target,Market_Return,Strategy_Return,Cumulative_Market,Cumulative_Strategy
2026-02-03 00:00:00+05:30,1467.1166446366906,1482.6448239290096,1423.617693715007,1430.4859619140625,25456171,0.0,0.0,1405.4588623046875,1498.93751953125,46.64118790548732,-32.302091820687565,-33.99486480169625,1.6927729810086871,0.0330356572438543,0.0142436830649276,1.6624222526148584,1426.4596130371094,41.87027020155726,1510.200153440224,1342.719072633995,0.5240406191408059,14925763.75,1.7055188214405443,2.8352924410162283,0.0136151680000361,0.0330356572438543,0.0330356572438543,0.03303565724385438,0.03303565724385438
2026-02-04 00:00:00+05:30,1437.3543194605445,1457.2622740237098,1433.6713964697635,1450.095458984375,8333387,0.0,0.0,1405.3166678292412,1497.362802734375,51.692015410614026,-26.632968176453005,-32.5224854766476,5.889517300194598,0.0136151680000361,0.0147130433249182,4.505031234464473,1423.9313110351563,38.54877847592313,1501.0288679870025,1346.8337540833102,0.6696820819209638,13971576.85,0.5964528620833518,2.6870387735712304,-0.0092408418115026,0.0136151680000361,-0.0136151680000361,0.047100611267257175,0.01897070322045158
2026-02-05 00:00:00+05:30,1450.2944646433757,1454.7737543419996,1432.8750047042822,1436.757080078125,11763658,0.0,0.0,1404.2217320033485,1495.4456689453125,48.34015660673812,-22.951867704956385,-30.60836192230936,7.656494217352975,-0.0092408418115026,0.0149142161648786,2.7623543385369413,1420.9053100585938,34.668292907661275,1490.2418958739163,1351.5687242432714,0.6143102867925474,13999792.75,0.8402737247663898,2.321133769167033,0.0051137031212075,-0.0092408418115026,-0.0092408418115026,0.03742452015780873,0.009554556141435855
2026-02-06 00:00:00+05:30,1434.865799564727,1446.113842295832,1426.9026178813986,1444.123046875,8277304,0.0,0.0,1403.7169276646205,1493.0746337890623,50.258356111174194,-19.218656392153434,-28.330420816278178,9.111764424124743,0.0051137031212075,0.0149967989295482,3.443853806131176,1419.919873046875,33.64902382122025,1487.2179206893154,1352.6218254044345,0.6798207724889607,13587723.75,0.60917517549619,2.097910246733181,0.0074165622611225,0.0051137031212075,-0.0051137031212075,0.04272960116455682,0.00439199385666611
2026-02-09 00:00:00+05:30,1451.2898835062008,1459.153549837875,1446.3128948796364,1454.873291015625,5775864,0.0,0.0,1407.1297258649554,1491.0480053710935,53.00119774620451,-15.217190373557967,-25.70777472773414,10.490584354176171,0.0074165622611225,0.0122431506388582,5.446942103601697,1419.2380249023438,32.738434885342905,1484.7148946730297,1353.761155131658,0.7721210271511421,13459751.4,0.4291211500384769,2.337398059690561,-0.0021232726050842,0.0074165622611225,-0.0074165622611225,0.050463070173109026,-0.003057141900344895
2026-02-10 00:00:00+05:30,1464.2299462371711,1464.2299462371711,1445.5164217743147,1451.7874755859375,10259630,0.0,0.0,1411.7156633649554,1488.878037109375,52.11289279378893,-12.154885289293588,-22.99719684004604,10.842311550752443,-0.0021232726050842,0.011407508777015,5.650124793373159,1418.0087097167968,30.88948488193805,1479.787679480673,1356.229739952921,0.7733840172330944,13528545.65,0.7583690269027551,4.284879641429533,0.0069691592148905,-0.0021232726050842,-0.0021232726050842,0.048232650713557756,-0.005173923359782173
2026-02-11 00:00:00+05:30,1452.882456999606,1463.234617369774,1446.91007080626,1461.9405517578125,7106877,0.0,0.0,1416.273158482143,1486.9390014648438,54.79732777860301,-8.807194200569029,-20.15919631215063,11.3520021115816,0.0069691592148905,0.0113908898014619,5.155013470327393,1418.800048828125,31.83562491043353,1482.4712986489922,1355.1287990072578,0.8387753739015575,13208901.5,0.5380369442530857,2.773587695158445,-0.0135729999745597,0.0069691592148905,-0.0069691592148905,0.0555379509506273,-0.012107024679012701
2026-02-12 00:00:00+05:30,1463.2345557130195,1466.2207486838624,1438.8473131178023,1442.231689453125,11135399,0.0,0.0,1419.5721871512276,1484.9999658203126,49.04933746900977,-7.656209352505584,-17.65859892022162,10.002389567716037,-0.0135729999745597,0.0122013252451894,4.1624745164877135,1418.30732421875,31.366133974209056,1481.0395921671682,1355.5750562703315,0.6906862769097311,13349583.25,0.8341383241308301,3.4720795174203487,-0.0204295126306795,-0.0135729999745597,-0.0135729999745597,0.04121113436922763,-0.02551569600791226
2026-02-13 00:00:00+05:30,1438.8473526451965,1444.0233720001163,1409.7817888672505,1413.0665283203125,10755693,0.0,0.0,1421.9540318080358,1482.6269360351562,42.02435545961925,-8.99375590832119,-15.925630317841536,6.931874409520345,-0.0204295126306795,0.0131537850691405,1.734269706913218,1416.3563415527344,30.351607011068467,1477.0595555748714,1355.6531275305974,0.4729024790085891,13887367.9,0.7744947118452878,1.3431827169177646,0.0122520344245692,-0.0204295126306795,-0.015,0.01993969834842746,-0.040132960567793585
2026-02-16 00:00:00+05:30,1413.564201587246,1432.9744560797708,1402.8139796964888,1430.4859619140625,5896514,0.0,0.0,1425.978280203683,1480.6660009765626,46.91471259800747,-8.549613853024994,-14.450427024878229,5.900813171853235,0.0122520344245692,0.013325573854551,3.3587393461975124,1415.3211242675782,29.440384363693838,1474.201892994966,1356.4403555401905,0.6287758123258892,13323835.55,0.442553796005085,1.4864228474513463,-0.009859823681494,0.0122520344245692,-0.0122520344245692,0.03243603464357703,-0.0518932845779263
2026-02-17 00:00:00+05:30,1424.5136248062845,1425.2104761017015,1412.071153550712,1416.450927734375,10731630,0.0,0.0,1427.8482142857142,1478.3248266601563,43.71514669835484,-9.22381167756248,-13.40510395541508,4.181292277852599,-0.009859823681494,0.0134736137065906,-0.9811374982602356,1415.78896484375,29.377044113759656,1474.5430530712692,1357.0348766162306,0.505633334722698,12840778.8,0.8357460374599709,-0.8199817763743811,0.0127781945491629,-0.009859823681494,-0.009859823681494,0.022256397379570636,-0.061241449623228306
2026-02-18 00:00:00+05:30,1420.4325123887006,1435.4629932986809,1412.6683617554224,1434.666748046875,5521096,0.0,0.0,1431.4245431082588,1476.300187988281,48.6135089986238,-8.193800812284962,-12.362843326789058,4.169042514504096,0.0127781945491629,0.0137036834166949,-1.063978984411553,1418.143084716797,28.88018490434366,1475.9034545254842,1360.3827149081096,0.6430363360276901,12457358.7,0.4431995684606882,-0.4715550267424416,-0.0223104801282869,0.0127781945491629,0.0127781945491629,0.035318988504413174,-0.04924581023182373
